country_code,country_name,year,gdp,htexp,inet,terenr,secenr,labor,pop,infl,rdexp,hci,broad,rdrate,eco_fre,fdi,gii,eduexp,gfcf,ictexp,cc,ge,pv,rl,rq,va,mobile,nfa,nbden,suscom,trade,hdi,sciart,secsvr,ai_art,Overallscore,Government,TechnologySector,DataandInfrastructure,Vision,GovernanceandEthics,DigitalCapacity,Adaptability,Size,InnovationCapacity,HumanCapital,Infrastructure,DataAvailability,DataRepresentativeness,EGDI,HCI1,OSI,TTI,Intellectualcapital,AI_Doc,DT,ln_gdp,Institutions_Index,trade_normalized,country_id,AI_Doc_norm,Inf_data,inf_data_avg,Inf_dataxAI
AFG,Afghanistan,2019,1420000000000,,17.6,,,9194531,37856121,6.521479848,,,.0519942,,52,2916493,,,,53748200,-1.419310093,-1.519112587,-2.65253973,-1.742100477,-1.113777995,-1.006712914,59.6471,790000000000,,36.69007464,,.507,139.36,27.65735031,12,,,,,,,,,,,,,,,,,,,23.92141172177404,6,,27.981678,-4.0115185,,Afghanistan,.000097845441,,,
AFG,Afghanistan,2020,1390000000000,,17,10.8584404,,9060510,39068979,6.962946255,,.400284141,.0680079,,55,24258330,,,168000000000,54766062,-1.493360877,-1.611539483,-2.702721119,-1.831406713,-1.389163017,-1.078266859,58.0461,872000000000,,34.95833158,46.70989455,.501,145.71,34.8614178,17,24.77526625,23.0832408,20.42072997,30.82182799,0,15.04989814,41.74,35.54306506,4.413784822,31.40131472,25.44709036,27.88548397,33.15,31.43,.3203,.3728,.4118,.1762,19.87252358536313,20,34.258495,27.960325,-4.2937369,.10799776,Afghanistan,.0003718127,-1.4509076,30.517742,-.00053946587
AFG,Afghanistan,2021,1100000000000,,16.5,,,9183905,40000412,2.838996251,,,.0664243,,53,1565,,,152000000000,,-1.152265787,-1.670587897,-2.518676043,-1.877233982,-1.311682105,-1.568389416,56.6945,,,39.26165357,51.41171637,.486,177.39,39.12459702,19,24.37809891,25.67053333,9.229463696,38.2342997,0,1.733333333,41.18,59.7688,3.408398662,,15.05052873,19.43539397,69.49750512999999,25.77,,,,,29.85348970027269,12,43.370968,27.726332,-4.277596,.11947358,Afghanistan,.00021525998,-.4502134,44.46645,-.000096912925
AFG,Afghanistan,2022,1030000000000,,17.2,,,8617545,40578842,9.406239339000001,,,.0796302,,,1491,,,197000000000,,-1.183684349,-1.880034804,-2.544955969,-1.659845591,-1.27180624,-1.753528714,56.2655,,,34.01304071,72.88546961,.495,169.19,36.74328607,61,13.45795858,14.45917285,10.7048567,15.20984618,0,5.94558363,34.5785,17.31260777,6.740842412,19.67725327,5.696474424,6.223333333,31.50598433,7.9,.271,.3493,.277,.1867,16.94596885634748,4,24.102606,27.66058,-4.350122,.17188494,Afghanistan,.000058707265,-2.2470102,18.864658,-.00013191582
AFG,Afghanistan,2023,1060000000000,,17.7,,,8866507,41454761,2.923662131,,,.0800873,,,1814,,,185000000000,,-1.154931784,-1.987013698,-2.484080553,-1.649640918,-1.266425252,-1.85290134,55.5475,,,33.75342378,67.58466515000001,.496,,43.7585444,,21.26871333,13.99,21.70519182,28.11094818,0,8.960000000000001,34.6,12.4,6.66542438,51.60695756,6.843193511,39.55666667,25.51617788,19.26,,,,,23.47562935267818,4,33.224281,27.689289,-4.3930593,.15894717,Afghanistan,.000058707265,-1.3239986,32.536423,-.000077728335
ALB,Albania,2019,1710000000000,1753201,68.59999999999999,61.4085083,99.01515198,1415825,2854191,1.000632856,,,15.1193,,66,-1161056359,30.34,3.916239977,421000000000,108058262,-.564274073,-.062300701,.110105053,-.426317364,.272065461,.141965285,91.1635,691000000000,1.547011502,44.96684967,75.38212892999999,.805,203.1,767.2927285,20,,,,,,,,,,,,,,,,,,,39.22164044885244,14,,28.167515,-.25939909,.17797858,Albania,.00025439815,,,
ALB,Albania,2020,1660000000000,3810240,72.2,61.58530045,95.92945099000001,1352399,2837849,.041044072,,.634250939,17.7209,,67,-1019647592,39.62,3.342299938,417000000000,82596608,-.57353878,-.155121222,.088612519,-.378028214,.221967235,.086325444,91.18810000000001,747000000000,1.434888238,47.43746032,59.52071189,.794,167.16,884.8250911,24,39.99141822,40.54013077,23.55660841,55.87751549,0,52.22014183,62.43333333,47.50704791,8.889374270999999,32.1978372,29.58261376,42.18782147,68.699725,56.745,.7399,.8001,.8411999999999999,.5785,41.66039145063889,24,57.773628,28.137838,-.33468491,.13926534,Albania,.00045008905,.29646352,55.443771,.00013343498
ALB,Albania,2021,1800000000000,6384226,79.3,59.96987152,97.66503143,1367734,2811666,3.4443911,,,19.6304,,65,-1168644883,28.0253608,3.022559881,499000000000,114601006,-.577179968,-.035985023,.196371928,-.28071627,.175859392,.085588962,92.4843,886000000000,1.737090142,49.9299182,75.59032173,.794,241.09,988.0263161,43,42.89921225,41.47314583,28.53876492,58.68572598,0,52.5251425,50.0010075,63.36643333,16.97289248,41.84559869,26.79780359,29.68918942,80.14030523,66.2276833,,,,,40.55885114139953,24,53.276833,28.218807,-.2175025,.17848672,Albania,.00045008905,.27631956,54.914749,.00012436841
ALB,Albania,2022,1890000000000,886411,82.59999999999999,62.6479187,97.32247162,1389262,2777689,9.861583003,,,20.6989,,67,-1249848500,24.44116124,2.744329929,507000000000,163589531,-.408189446,.064540535,.106261313,-.165585101,.159353822,.141740188,98.395,851000000000,1.80411929,47.68816478,84.6980571,.806,238.59,1107.395392,57,42.0977979,41.98351276,30.65768329,53.65219765,0,52.38493335,61.63351,53.91560768,17.18516264,30.00851956,44.77936766,25.514,64.93964801,70.5,.7413,.8022,.8182,.6037,37.07242760540991,34,50.695721,28.267597,-.067415938,.20071612,Albania,.00064577995,-.40474799,45.226826,-.00026137813
ALB,Albania,2023,1970000000000,16899736,83.09999999999999,64.72934723,96.13687897,1376643,2745972,6.066052094,,,22.5049,,65,-1358205661,25.42675817,,512000000000,214420385,-.332218528,.250855356,.183348969,-.164097369,.171953663,.168997228,92.9973,948000000000,,49.84353665,82.49368256,.8100000000000001,,1220.332909,,43.26239362,42.52967465,31.97313228,55.28437393,0,54.064,61.65,54.40469861,17.94967518,35.83750708,42.13221458,24.885,67.4381218,73.53,,,,,39.55964331445627,39,51.324375,28.309055,.095266156,.19533587,Albania,.00074362539,-.33760187,46.16156,-.00025104932
