country_name,country_code,year,gdp,htexp,inet,terenr,secenr,labor,pop,infl,rdexp,hci,broad,rdrate,eco_fre,fdi,gii,eduexp,gfcf,ictexp,cc,ge,pv,rl,rq,va,mobile,nfa,nbden,suscom,trade,hdi,sciart,secsvr,ai_art
Afghanistan,AFG,2008,7.45E+11,,1.84,,39.09003067,6273586,26482622,2.09628875,,,0.00188803,,,-47951776,,4.383672237,,109445928,-1.672095537,-1.527795076,-2.69136095,-1.903307557,-1.607166886,-1.168901801,29.8268,1.73E+11,,,,0.446,12.5,,
Afghanistan,AFG,2015,1.29E+12,,8.26,,53.28514099,8575264,33831764,2.447563001,,,0.0208887,,,-166983555,,3.255800009,,82152250,-1.354713082,-1.397394896,-2.56262517,-1.516200662,-1.018826246,-1.117628098,58.256,5.46E+11,0.128967583,34.5,,0.496,21.19,2.187293574,2
Afghanistan,AFG,2015,1.29E+12,,8.26,,53.28514099,8575264,33831764,2.447563001,,,0.0208887,,,74,,3.255800009,,82152250,-1.354713082,-1.397394896,-2.56262517,-1.516200662,-1.018826246,-1.117628098,58.256,5.46E+11,0.128967583,34.5,,0.496,21.19,2.187293574,2
Afghanistan,AFG,2015,1.29E+12,,8.26,,53.28514099,8575264,33831764,2.447563001,,,0.0208887,,,2,,3.255800009,,82152250,-1.354713082,-1.397394896,-2.56262517,-1.516200662,-1.018826246,-1.117628098,58.256,5.46E+11,0.128967583,34.5,,0.496,21.19,2.187293574,2
Aruba,ABW,2000,4409259400,,15.4,27.9737606,93.7623291,,90588,1.036100803,,,,,,130558659,,4.714680195,,10955307,,,,,,,16.8993,554172000,,,145.0728795,,,,
Afghanistan,AFG,2016,1.32E+12,,11,,53.50634003,8883595,34700612,-2.197526467,,,0.0253627,,,-79585269,,4.543970108,,77926450,-1.540227771,-1.291468024,-2.662156105,-1.522533655,-1.339695096,-1.037836909,62.2553,5.83E+11,0.135709341,35.1,,0.495,59.55,12.27644054,1
Afghanistan,AFG,2016,1.32E+12,,11,,53.50634003,8883595,34700612,-2.197526467,,,0.0253627,,,-79585269,,4.543970108,,77926450,-1.540227771,-1.291468024,-2.662156105,-1.522533655,-1.339695096,-1.037836909,62.2553,5.83E+11,0.135709341,37.5,,0.495,59.55,12.27644054,1
Afghanistan,AFG,2016,1.32E+12,,11,,53.50634003,8883595,34700612,-2.197526467,,,0.0253627,,,426,,4.543970108,,77926450,-1.540227771,-1.291468024,-2.662156105,-1.522533655,-1.339695096,-1.037836909,62.2553,5.83E+11,0.135709341,35.1,,0.495,59.55,12.27644054,1
Afghanistan,AFG,2016,1.32E+12,,11,,53.50634003,8883595,34700612,-2.197526467,,,0.0253627,,,426,,4.543970108,,77926450,-1.540227771,-1.291468024,-2.662156105,-1.522533655,-1.339695096,-1.037836909,62.2553,5.83E+11,0.135709341,37.5,,0.495,59.55,12.27644054,1
Afghanistan,AFG,2016,1.32E+12,,11,,53.50634003,8883595,34700612,-2.197526467,,,0.0253627,,,12,,4.543970108,,77926450,-1.540227771,-1.291468024,-2.662156105,-1.522533655,-1.339695096,-1.037836909,62.2553,5.83E+11,0.135709341,35.1,,0.495,59.55,12.27644054,1
Afghanistan,AFG,2016,1.32E+12,,11,,53.50634003,8883595,34700612,-2.197526467,,,0.0253627,,,12,,4.543970108,,77926450,-1.540227771,-1.291468024,-2.662156105,-1.522533655,-1.339695096,-1.037836909,62.2553,5.83E+11,0.135709341,37.5,,0.495,59.55,12.27644054,1
Brazil,BRA,2000,2.71E+12,,2.87,,,80295093,174018282,5.606065141,1.047510028,,0.0574652,299,61,-30497652700,,3.948930025,4.87E+11,35031000,0.013238784,0.043085087,0.184101626,-0.244871855,0.258442432,0.301593602,13.3251,3713963772,,,22.63976136,0.69,12800.36,,
Afghanistan,AFG,2017,1.35E+12,,13.5,,55.4021492,9223903,35688935,2.403656188,,0.389,0.0257279,,49,-40273161,,4.343190193,,57790520,-1.530074596,-1.386596799,-2.794975519,-1.5811764,-1.363010406,-0.990954161,67.0508,6.51E+11,0.161550509,36.55127527,,0.496,72.4,44.18736508,2
Afghanistan,AFG,2017,1.35E+12,,13.5,,55.4021492,9223903,35688935,2.403656188,,0.389,0.0257279,,49,1577,,4.343190193,,57790520,-1.530074596,-1.386596799,-2.794975519,-1.5811764,-1.363010406,-0.990954161,67.0508,6.51E+11,0.161550509,36.55127527,,0.496,72.4,44.18736508,2
Afghanistan,AFG,2017,1.35E+12,,13.5,,55.4021492,9223903,35688935,2.403656188,,0.389,0.0257279,,49,44,,4.343190193,,57790520,-1.530074596,-1.386596799,-2.794975519,-1.5811764,-1.363010406,-0.990954161,67.0508,6.51E+11,0.161550509,36.55127527,,0.496,72.4,44.18736508,2
Aruba,ABW,2001,4593654700,,17.1,29.22801018,95.28610229,,91439,-2.835502413,,,,,,263240224,,4.798980236,,5977654,,,,,,,58.69,700601000,,,140.3911086,,,,
Afghanistan,AFG,2018,1.37E+12,,16.8,9.96378994,57.03929901,9215855,36743039,2.071348578,,0.393489242,0.0435429,,51,-80631404,,,,73258422,-1.502875924,-1.50175786,-2.753441334,-1.689123869,-1.138203621,-1.007686734,59.8109,7.38E+11,0.220291008,34.46288058,,0.498,90.34,53.47951758,4
Afghanistan,AFG,2018,1.37E+12,,16.8,9.96378994,57.03929901,9215855,36743039,2.071348578,,0.393489242,0.0435429,,51,1965,,,,73258422,-1.502875924,-1.50175786,-2.753441334,-1.689123869,-1.138203621,-1.007686734,59.8109,7.38E+11,0.220291008,34.46288058,,0.498,90.34,53.47951758,4
Afghanistan,AFG,2018,1.37E+12,,16.8,9.96378994,57.03929901,9215855,36743039,2.071348578,,0.393489242,0.0435429,,51,53,,,,73258422,-1.502875924,-1.50175786,-2.753441334,-1.689123869,-1.138203621,-1.007686734,59.8109,7.38E+11,0.220291008,34.46288058,,0.498,90.34,53.47951758,4
Angola,AGO,2000,5.62E+11,,0.105,,12.85634041,6815659,16194869,418.0189915,,,,,24,-878620000,,2.607530117,,,-1.197514296,-1.075034142,-2.038173914,-1.601501703,-1.507048011,-1.458064675,0.159347,30520014540,,,,0.391,6.08,,
Afghanistan,AFG,2019,1.42E+12,,17.6,,,9194531,37856121,6.521479848,,,0.0519942,,52,2916493,,,,53748200,-1.419310093,-1.519112587,-2.65253973,-1.742100477,-1.113777995,-1.006712914,59.6471,7.90E+11,,36.69007464,,0.507,139.36,27.65735031,12
Afghanistan,AFG,2019,1.42E+12,,17.6,,,9194531,37856121,6.521479848,,,0.0519942,,52,1047,,,,53748200,-1.419310093,-1.519112587,-2.65253973,-1.742100477,-1.113777995,-1.006712914,59.6471,7.90E+11,,36.69007464,,0.507,139.36,27.65735031,12
Afghanistan,AFG,2019,1.42E+12,,17.6,,,9194531,37856121,6.521479848,,,0.0519942,,52,28,,,,53748200,-1.419310093,-1.519112587,-2.65253973,-1.742100477,-1.113777995,-1.006712914,59.6471,7.90E+11,,36.69007464,,0.507,139.36,27.65735031,12
