year,country_name,gdp,hte,hdi,gr_cap,labor,sec_srv,mob_sub,ter_enr,sci_art,pop,infl,ict_exp,edu_exp,fdi,trade,inet_usr,rnd_exp,p_a,cc,ge,pv,rl,rq,va,foreign_assets,new_business_density,innovation_score,competitiveness_score,ctfp,cwtfp,economic_freedom
1960,Afghanistan,,,,,,,,,,9035043,,,,,,,,,,,,,,,,,,,,,
2025,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,Albania,,,,,1369710,,,,,,,,,,,,,,,,,,,,1.01E+12,,24.5379298,49.17641925,,,64.8
2024,Afghanistan,,,,,9132918,,,,,,,,,,,,,,,,,,,,,,,31.69231507,,,
1961,Afghanistan,,,,,,,,,,9214083,,,,,,,,,,,,,,,817000000,,,,,,
2023,Afghanistan,1.06E+12,,0.496,1.61E+13,8866507,43.7585444,,,,41454761,2.961653541,,,,7.13E+13,733749270,,,-1.154931784,-1.987013698,-2.484080553,-1.649640918,-1.266425252,-1.85290134,,,,33.75342378,,,
2024,Algeria,,,,,13294279,,,,,,,,,,,,,,,,,,,,8.78E+12,,16.16225938,38.04743063,,,43.9
2022,Afghanistan,1.03E+12,,0.495,1.72E+13,8617545,36.74328607,,,169,40578842,9.406239339,,,,7.51E+13,697956082,,,-1.183684349,-1.880034804,-2.544955969,-1.659845591,-1.27180624,-1.753528714,,,,34.01304071,,,
1962,Afghanistan,,,,,,,,,,9404406,,,,,,,,,,,,,,,682000000,,,,,,
2021,Afghanistan,1.1E+12,,0.486,1.43E+13,9183905,39.12459702,57,,177,40000412,2.838996251,,,1.59E+11,5.66E+13,660006798,,,-1.152265787,-1.670587897,-2.518676043,-1.877233982,-1.311682105,-1.568389416,,,,39.26165357,,,53
2024,Angola,,,,,15960547,,,,,,,,,,,,,,,,,,,,1.24E+13,,10.21620935,36.82963122,,,54.3
2020,Afghanistan,1.39E+12,,0.501,1.59E+13,9060510,34.8614178,58,11,146,39068979,6.962946255,54766062,,90341600230,6.49E+13,664172643,,,-1.493360877,-1.611539483,-2.702721119,-1.831406713,-1.389163017,-1.078266859,8.72E+11,,,34.95833158,,,54.7
2024,Austria,,,,,4768178,,,,,,,,,,,,,,,,,,,,1.16E+11,,50.27656791,57.95651932,,,68.4
2019,Afghanistan,1.42E+12,,0.507,,9194531,27.65735031,60,,139,37856121,6.521479848,53748200,,1.77E+11,,666267730,,,-1.419310093,-1.519112587,-2.65253973,-1.742100477,-1.113777995,-1.006712914,7.9E+11,,,36.69007464,,,51.5
1963,Afghanistan,,,,,,,,,,9604487,,,,,,,,,,,,,,,1901000000,,,,,,
2018,Afghanistan,1.37E+12,,0.498,,9215855,53.47951758,60,10,90,36743039,2.071348578,73258422,,9.06E+11,,617283055,,,-1.502875924,-1.50175786,-2.753441334,-1.689123869,-1.138203621,-1.007686734,7.38E+11,0.220291008,,34.46288058,,,51.3
2024,Argentina,,,,,22285744,,,,,,,,,,,,,,,,,,,,2.1E+13,,26.42464614,47.98639166,,,49.9
2017,Afghanistan,1.35E+12,,0.496,,9223903,44.18736508,67,,72,35688935,2.403656188,57790520,5.86E+12,3.71E+11,,481800622,,,-1.530074596,-1.386596799,-2.794975519,-1.5811764,-1.363010406,-0.990954161,6.51E+11,0.161550509,,36.55127527,,,48.9
1964,Afghanistan,,,,,,,,,,9814318,,,,,,,,,,,,,,,1648000000,,,,,,
